epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1016.02,1.01562,0.74666,1.03401,0.92357,0.76923,0.84976,0.48542,1.68516,1.24415,1.44281,0.0058024,0.0058024,0.0058024
108,1025.44,0.9985,0.75625,1.03259,0.81346,0.79487,0.82352,0.41741,1.80393,1.31581,1.5237,0.0057628,0.0057628,0.0057628
109,1034.83,1.03114,0.78926,1.05943,0.95419,0.74359,0.87593,0.40897,1.75196,1.28958,1.48887,0.0057232,0.0057232,0.0057232
110,1044.22,1.00791,0.80126,1.06322,0.74011,0.73035,0.77729,0.36275,1.78019,1.44783,1.5098,0.0056836,0.0056836,0.0056836
111,1053.63,1.11448,0.81299,1.03569,0.95709,0.61538,0.79952,0.43407,1.65182,1.38005,1.40609,0.005644,0.005644,0.005644
112,1063.05,1.03155,0.79878,1.04973,0.66319,0.69231,0.73345,0.36206,1.73637,1.5032,1.45492,0.0056044,0.0056044,0.0056044
113,1072.48,1.00695,0.80981,1.05114,0.95293,0.69231,0.85728,0.44208,1.71443,1.3605,1.44292,0.0055648,0.0055648,0.0055648
114,1081.94,1.04678,0.76351,1.04566,0.93874,0.64103,0.79294,0.39807,1.84899,1.3786,1.5242,0.0055252,0.0055252,0.0055252
115,1091.36,1.03338,0.78468,1.04741,0.84121,0.71795,0.79949,0.38625,1.83312,1.381,1.48955,0.0054856,0.0054856,0.0054856
116,1100.75,0.9858,0.76122,1.04648,0.91839,0.74359,0.83614,0.43227,1.68979,1.36754,1.43891,0.005446,0.005446,0.005446
117,1110.2,1.0238,0.84572,1.06474,1,0.71006,0.85679,0.42241,1.72987,1.26181,1.46903,0.0054064,0.0054064,0.0054064
118,1119.62,1.01805,0.76128,1.03244,0.96178,0.71795,0.84511,0.4307,1.77712,1.28851,1.47991,0.0053668,0.0053668,0.0053668
119,1129.02,0.95171,0.75066,1.02303,0.96853,0.78938,0.86124,0.43576,1.74001,1.20969,1.46647,0.0053272,0.0053272,0.0053272
